addr	type	namespace	name	source
EXTERNAL:0000004a	Function	KERNEL32.DLL	CreateFileW	IMPORTED
EXTERNAL:0000004b	Function	KERNEL32.DLL	DeleteCriticalSection	IMPORTED
EXTERNAL:0000004c	Function	KERNEL32.DLL	EnterCriticalSection	IMPORTED
EXTERNAL:0000004d	Function	KERNEL32.DLL	FindClose	IMPORTED
EXTERNAL:0000004e	Function	KERNEL32.DLL	FindFirstFileW	IMPORTED
EXTERNAL:0000004f	Function	KERNEL32.DLL	FindResourceW	IMPORTED
EXTERNAL:00000050	Function	KERNEL32.DLL	FreeLibrary	IMPORTED
EXTERNAL:00000051	Function	KERNEL32.DLL	GetCommState	IMPORTED
EXTERNAL:00000052	Function	KERNEL32.DLL	GetConsoleMode	IMPORTED
EXTERNAL:00000053	Function	KERNEL32.DLL	GetConsoleScreenBufferInfo	IMPORTED
EXTERNAL:00000054	Function	KERNEL32.DLL	GetCurrentDirectoryW	IMPORTED
EXTERNAL:00000055	Function	KERNEL32.DLL	GetCurrentProcess	IMPORTED
EXTERNAL:00000056	Function	KERNEL32.DLL	GetCurrentProcessId	IMPORTED
EXTERNAL:00000057	Function	KERNEL32.DLL	GetCurrentThreadId	IMPORTED
EXTERNAL:00000058	Function	KERNEL32.DLL	GetFileAttributesW	IMPORTED
EXTERNAL:00000059	Function	KERNEL32.DLL	GetFileSize	IMPORTED
EXTERNAL:0000005a	Function	KERNEL32.DLL	GetLargestConsoleWindowSize	IMPORTED
EXTERNAL:0000005b	Function	KERNEL32.DLL	GetLastError	IMPORTED
EXTERNAL:0000005c	Function	KERNEL32.DLL	GetModuleFileNameW	IMPORTED
EXTERNAL:0000005d	Function	KERNEL32.DLL	GetModuleHandleA	IMPORTED
EXTERNAL:0000005e	Function	KERNEL32.DLL	GetModuleHandleW	IMPORTED
EXTERNAL:0000005f	Function	KERNEL32.DLL	GetPrivateProfileStringW	IMPORTED
EXTERNAL:00000060	Function	KERNEL32.DLL	GetProcAddress	IMPORTED
EXTERNAL:00000061	Function	KERNEL32.DLL	GetProcessHeap	IMPORTED
EXTERNAL:00000062	Function	KERNEL32.DLL	GetStartupInfoA	IMPORTED
EXTERNAL:00000063	Function	KERNEL32.DLL	GetStdHandle	IMPORTED
EXTERNAL:00000064	Function	KERNEL32.DLL	GetSystemTimeAsFileTime	IMPORTED
EXTERNAL:00000065	Function	KERNEL32.DLL	GetTickCount	IMPORTED
EXTERNAL:00000066	Function	KERNEL32.DLL	GlobalAlloc	IMPORTED
EXTERNAL:00000067	Function	KERNEL32.DLL	GlobalFree	IMPORTED
EXTERNAL:00000068	Function	KERNEL32.DLL	GlobalLock	IMPORTED
EXTERNAL:00000069	Function	KERNEL32.DLL	GlobalUnlock	IMPORTED
EXTERNAL:0000006a	Function	KERNEL32.DLL	HeapAlloc	IMPORTED
EXTERNAL:0000006b	Function	KERNEL32.DLL	HeapFree	IMPORTED
EXTERNAL:0000006c	Function	KERNEL32.DLL	InitializeCriticalSection	IMPORTED
EXTERNAL:0000006d	Function	KERNEL32.DLL	LeaveCriticalSection	IMPORTED
EXTERNAL:0000006e	Function	KERNEL32.DLL	LoadLibraryA	IMPORTED
EXTERNAL:0000006f	Function	KERNEL32.DLL	LoadLibraryW	IMPORTED
EXTERNAL:00000070	Function	KERNEL32.DLL	LoadResource	IMPORTED
EXTERNAL:00000071	Function	KERNEL32.DLL	LockResource	IMPORTED
EXTERNAL:00000072	Function	KERNEL32.DLL	MoveFileW	IMPORTED
EXTERNAL:00000073	Function	KERNEL32.DLL	MulDiv	IMPORTED
EXTERNAL:00000074	Function	KERNEL32.DLL	MultiByteToWideChar	IMPORTED
EXTERNAL:00000075	Function	KERNEL32.DLL	PeekConsoleInputA	IMPORTED
EXTERNAL:00000076	Function	KERNEL32.DLL	PurgeComm	IMPORTED
EXTERNAL:00000077	Function	KERNEL32.DLL	QueryPerformanceCounter	IMPORTED
EXTERNAL:00000078	Function	KERNEL32.DLL	ReadConsoleInputA	IMPORTED
EXTERNAL:00000079	Function	KERNEL32.DLL	ReadFile	IMPORTED
EXTERNAL:0000007a	Function	KERNEL32.DLL	RtlAddFunctionTable	IMPORTED
EXTERNAL:0000007b	Function	KERNEL32.DLL	RtlCaptureContext	IMPORTED
EXTERNAL:0000007c	Function	KERNEL32.DLL	RtlLookupFunctionEntry	IMPORTED
